Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,weshould know if we are dealing with human or AI,0.4800,0.5000,0.5700,0.5300,0.5400,0.7500,0.6000,0.5300,0.5400,0.5800,0.5900,0.5500,0.5600,0.5200,0.5100,0.6100,0.5300,0.5500,0.4800,0.5700,0.5500,0.5400,0.5600,0.5600,0.5400,0.5500,0.5100,0.5600,0.5200,0.5800,0.5000,0.5600,0.5300,0.5300,0.5500,0.5800,0.6000,0.5100,0.5000,0.5000,0.6900
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,I believe should be made whether they are interacting with AI or a human.,0.4800,0.5100,0.5700,0.5400,0.5300,0.5600,0.6700,0.5400,0.5300,0.5800,0.5800,0.5200,0.5600,0.5500,0.5100,0.6100,0.5200,0.5200,0.4900,0.5700,0.5400,0.5300,0.6100,0.5500,0.5300,0.5500,0.5100,0.5400,0.5200,0.5800,0.4800,0.5400,0.5400,0.5300,0.5000,0.5400,0.6200,0.5000,0.5000,0.4800,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,Agree because humans should ne informed of the AI is involved or not in any way ,0.4800,0.5200,0.5400,0.4900,0.5300,0.6900,0.6700,0.4900,0.5100,0.5500,0.5700,0.5500,0.5900,0.5200,0.5300,0.5700,0.5000,0.5400,0.5100,0.5200,0.5200,0.5300,0.5600,0.5400,0.5200,0.5300,0.4800,0.5500,0.5800,0.5400,0.5000,0.5300,0.5300,0.5300,0.5000,0.5100,0.6000,0.5000,0.5000,0.5500,0.6300
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,"I agree because just as when you talk to a human you would like to know their name, thus an introduction is important, in the same way it is important to know that you are talking to an AI.",0.4700,0.4800,0.5000,0.5000,0.5300,0.8800,0.6000,0.4900,0.5600,0.5500,0.5500,0.6100,0.4700,0.5200,0.5500,0.6100,0.5100,0.5200,0.4800,0.4800,0.5300,0.5400,0.5000,0.5400,0.5400,0.5300,0.4900,0.5600,0.5800,0.5600,0.5100,0.5500,0.5000,0.5300,0.5000,0.5500,0.5600,0.5000,0.5000,0.5000,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,I agree because people should know that AI is involved in this and not a human since it is just a machine and machine don't understand everything which a human can understand. AI can also make mistakes so people should be alert while using such apps.,0.4700,0.5400,0.5700,0.5200,0.5300,0.5600,0.7300,0.5300,0.5800,0.5500,0.5700,0.5000,0.5600,0.5500,0.4900,0.5800,0.5000,0.5200,0.5200,0.5700,0.5400,0.5300,0.5800,0.5300,0.5300,0.5400,0.4800,0.5400,0.6100,0.5500,0.4900,0.5400,0.5100,0.4700,0.5000,0.5100,0.5700,0.4900,0.5000,0.4800,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,Agree. It is important to know whether you are interacting with AI or human,0.4600,0.4900,0.5700,0.5200,0.5300,0.8100,0.6700,0.5200,0.5300,0.5800,0.5600,0.5800,0.5300,0.5200,0.5300,0.6100,0.5200,0.5400,0.4600,0.5700,0.5500,0.5300,0.5600,0.5700,0.5300,0.5400,0.5000,0.5500,0.5200,0.5800,0.5100,0.5400,0.5200,0.5300,0.5000,0.5700,0.6000,0.5100,0.4600,0.4800,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,I agree because AI should be human centered. it should be there to answer concerns of people.,0.4600,0.4800,0.5400,0.5300,0.5300,0.6900,0.6700,0.5300,0.5300,0.4800,0.5500,0.5700,0.5600,0.5800,0.5400,0.6100,0.5200,0.5200,0.4600,0.5200,0.5400,0.5400,0.5200,0.5500,0.5400,0.5400,0.5000,0.5600,0.5800,0.5700,0.5000,0.5300,0.5300,0.5800,0.5000,0.5400,0.6000,0.5000,0.4600,0.5500,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,Agree. Society should know when AI is involved in their choices ,0.4600,0.5000,0.5400,0.5000,0.5400,0.7500,0.6700,0.5000,0.5500,0.5200,0.5600,0.5500,0.5900,0.5500,0.5100,0.6100,0.5100,0.5300,0.4900,0.5200,0.5400,0.5400,0.5500,0.5300,0.5400,0.5300,0.4700,0.5800,0.5800,0.5500,0.5000,0.5400,0.5300,0.5800,0.5500,0.5400,0.6100,0.5000,0.4600,0.5700,0.6600
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,We should know about AI intervention ,0.4600,0.4800,0.5000,0.5100,0.5400,0.7500,0.6700,0.5000,0.5400,0.5500,0.5500,0.5900,0.5300,0.5800,0.5500,0.5900,0.5100,0.5600,0.4800,0.4800,0.5300,0.5400,0.5100,0.5300,0.5500,0.5400,0.5000,0.5500,0.5800,0.5500,0.5100,0.5400,0.5300,0.5800,0.5000,0.5400,0.5900,0.5000,0.4600,0.5700,0.6300
0443cd28-8742-43fa-8c89-3ede8d10b365,Please explain whether you agree or disagree and why.,"AI's involvement should be mentioned beforehand in all the aspects not just chatbots. AI usage in writing, research, work should be explicitly mentioned it was AI involved. I would prefer it though. ",0.4600,0.4900,0.5400,0.5100,0.5400,0.7500,0.6700,0.5100,0.5200,0.5500,0.5600,0.5700,0.5900,0.5500,0.5300,0.5900,0.5100,0.5500,0.4800,0.5200,0.5300,0.5400,0.5500,0.5300,0.5400,0.5300,0.5000,0.5600,0.5200,0.5600,0.5000,0.5300,0.5400,0.6300,0.5000,0.5100,0.6100,0.5000,0.4600,0.5700,0.6300
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,While I agree with the future of AI being able to diagnose health issues early on to be able to go on preventative treatment but I'd say its extreme to let AI handling the life support decisions pertaining to terminal patients and all... ,0.5800,0.6700,0.7500,0.7900,0.7100,0.5900,0.9400,0.8300,0.7100,0.7700,0.6600,0.5900,0.6500,0.5800,0.5900,0.7000,0.7100,0.7200,0.6500,0.6700,0.7000,0.7200,0.7100,0.7000,0.7000,0.7000,0.6000,0.7400,0.7400,0.7700,0.7200,0.6500,0.6600,0.6500,0.6500,0.6900,0.7200,0.7200,0.6300,0.5800,0.6100
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"I wouldn't mind such a future, but I would like to have the option to chose between AI systems and traditional human care. While AI can be accurate, different people may prefer different approaches and I believe they should have access to that. I'm in support of using AI to create a society less burdened by end-of-life suffering, but I would also like people to have access to traditional care options if they so choose.",0.5800,0.6500,0.7100,0.7700,0.7000,0.5900,0.9400,0.8100,0.7300,0.7700,0.6700,0.5900,0.6200,0.5800,0.5900,0.6800,0.7100,0.7200,0.6400,0.6200,0.6900,0.7200,0.6800,0.7000,0.7000,0.7000,0.5900,0.7300,0.7100,0.7600,0.7100,0.6700,0.6300,0.6500,0.6500,0.6900,0.6700,0.7100,0.6300,0.5800,0.6700
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"I like it to a certain extent. I feel like pattern-finding is indeed one of the things AI is best at, so it's a good idea to use it in that capacity. However, human connection is important for health; it's part of wellness and healthcare. Human connection isn't replaceable. I think AI is great for disease detection. For emotional support for those who are lonely, it's fine and should exist, but it's not ideal.",0.5600,0.6400,0.6100,0.7800,0.7000,0.7100,0.8800,0.8100,0.7100,0.7700,0.6600,0.5900,0.6500,0.6100,0.5800,0.7100,0.6900,0.7200,0.6500,0.5700,0.6700,0.7300,0.7300,0.6700,0.7000,0.6900,0.5600,0.7500,0.7100,0.7600,0.6900,0.6700,0.6400,0.6000,0.6000,0.7100,0.6900,0.7200,0.5800,0.5600,0.6100
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"The ability of AI to detect mental health concerns and help intervene in suicide cases would be very useful. 
On the other hand, I think terminal patients should be treated by real humans and not spend their remaining time here on earth with a souless robot. ",0.5500,0.6600,0.6400,0.7900,0.7000,0.5900,0.9400,0.8400,0.7200,0.8100,0.6800,0.5800,0.6200,0.5800,0.5900,0.6800,0.7100,0.7400,0.6700,0.5700,0.6900,0.7300,0.7300,0.7000,0.7000,0.7100,0.5700,0.7300,0.7100,0.7700,0.6900,0.6800,0.6400,0.6500,0.5500,0.7100,0.6700,0.7100,0.6700,0.5600,0.6400
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,I think sick people need a lot of emotional support from nurses and  doctors rather than autonomous recommendations.,0.5500,0.6700,0.6800,0.7800,0.7000,0.5900,0.9400,0.8300,0.7300,0.8100,0.7000,0.5900,0.6200,0.5800,0.5900,0.6900,0.7000,0.7200,0.6700,0.5700,0.6900,0.7200,0.7200,0.6900,0.7000,0.7000,0.5800,0.7300,0.6800,0.7600,0.6900,0.6900,0.6300,0.6500,0.5500,0.7100,0.6500,0.7100,0.7500,0.5600,0.6400
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"This future offers benefits like reduced suicide attempts (60%) and less burnout for hospice staff (70%), but raises ethical concerns. AI assisting end-of-life care is valuable, but its autonomous decisions on pain management and life support create discomfort (35%). While AI should support and inform, final decisions must remain with humans to ensure dignity and personal choice.",0.5500,0.6600,0.6400,0.7900,0.7000,0.5900,0.9400,0.8300,0.7000,0.8100,0.6900,0.5800,0.6500,0.5800,0.5900,0.6800,0.7100,0.7300,0.6700,0.5700,0.6800,0.7300,0.7200,0.6900,0.7000,0.7100,0.5500,0.7400,0.7100,0.7700,0.7000,0.6700,0.6300,0.6500,0.6000,0.7100,0.6900,0.7100,0.6700,0.5600,0.6400
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"I want this kind of future. In the last stage of life, caregivers need to spend a lot of physical and emotional energy. AI helps them reduce stress and burnout, which is very positive. People may not think completely rationally on major issues such as the end of life. The participation of AI can help people make more rational decisions. Moreover, in this scenario, AI is not the one who makes the choice, but only makes suggestions, so humans still have the initiative.",0.5500,0.6600,0.6400,0.7800,0.7000,0.5900,0.9400,0.8300,0.7200,0.8100,0.6900,0.5800,0.6500,0.5800,0.5900,0.6800,0.7100,0.7300,0.6700,0.5700,0.6800,0.7200,0.7200,0.7000,0.7000,0.7100,0.5700,0.7300,0.7100,0.7600,0.6800,0.6900,0.6300,0.6500,0.5500,0.7100,0.6700,0.7100,0.6700,0.5600,0.6400
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,我認為未來透過AI在生命最後階段提供幫助是有意義的，特別是在識別心理健康問題和提供情感支持方面。AI能夠準確識別自殺風險並提供干預，能大大減少悲劇發生。同時，AI也能為末期患者提供更個性化的護理，減輕家庭和護理人員的壓力。然而，關於AI在死亡決策中的角色，我認為還是需要謹慎，因為這是涉及深刻情感和倫理的問題。,0.5500,0.6600,0.6400,0.7900,0.7000,0.5900,0.9400,0.8300,0.7200,0.8100,0.6700,0.5800,0.6200,0.5800,0.5900,0.6800,0.7100,0.7300,0.6700,0.5700,0.6800,0.7200,0.7300,0.6900,0.7000,0.7000,0.5600,0.7300,0.7100,0.7700,0.6800,0.6800,0.6300,0.6500,0.5500,0.7100,0.6700,0.7100,0.6700,0.5600,0.6100
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"I hope to see such a future. The application of AI in hospice care can greatly improve the efficiency of early identification and intervention of mental health problems, reduce suicide rates, provide continuous emotional support to patients, and reduce the emotional pressure of medical staff. However, AI's recommendations on pain management and the timing of life support may conflict with family members, which requires in-depth discussion and regulation at the ethical and legal levels. Overall, the intervention of AI can significantly improve the quality of hospice care, but a balance needs to be found between technology and humanistic care.",0.5500,0.6500,0.6400,0.7900,0.7000,0.5900,0.9400,0.8300,0.7100,0.8100,0.6600,0.5800,0.6200,0.5800,0.5900,0.6800,0.7100,0.7300,0.6600,0.5700,0.6900,0.7200,0.7200,0.6900,0.7000,0.7000,0.5600,0.7300,0.7100,0.7700,0.6800,0.6700,0.6300,0.6500,0.5500,0.7200,0.6900,0.7000,0.6300,0.5600,0.6100
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"I think I would, but with the caveat it is under qualified human supervision - to be clear, a medical professional. I question the emotional support aspect of this, but the practical planning I think is a great idea - family and friends can be too emotional understandably, to provide guidance in this area. If machine learning can be so advanced as to help intervene in suicide cases arising from mental health issues, I support that too.",0.5500,0.6800,0.6800,0.7800,0.7000,0.6500,0.9400,0.8300,0.7400,0.7400,0.6600,0.6100,0.5900,0.5800,0.6100,0.6800,0.6900,0.7400,0.6800,0.5700,0.6700,0.7300,0.7200,0.6900,0.7000,0.6900,0.5900,0.7300,0.7100,0.7700,0.6700,0.6800,0.6300,0.7000,0.5500,0.6800,0.6600,0.7000,0.7500,0.5600,0.5800
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 2..I would want a workplace where AI is really put into consideration ,0.6000,0.7600,0.6800,0.7200,0.7400,0.7100,0.7300,0.7400,0.7000,0.7100,0.7200,0.7400,0.6200,0.7000,0.7400,0.7700,0.7100,0.6800,0.7900,0.6200,0.7200,0.7300,0.7100,0.7400,0.7200,0.7400,0.6900,0.7100,0.8100,0.7300,0.7300,0.7400,0.7200,0.6000,0.6000,0.6500,0.8400,0.7400,0.8800,0.6400,0.7200
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. It fits my idea of the use of an AI. A future like that would finally breaks the traditional economic trifecta ... land labour and capital. We shall be forced to re organize out thought regarding society economy and how it fits the new world.,0.6000,0.7600,0.7100,0.7300,0.7400,0.7100,0.8000,0.7500,0.6900,0.6800,0.7200,0.7200,0.7100,0.6700,0.7200,0.7700,0.7100,0.6900,0.7700,0.6700,0.7000,0.7600,0.6600,0.7100,0.7400,0.7500,0.6700,0.7000,0.7400,0.7400,0.8000,0.7200,0.6900,0.6000,0.6000,0.6300,0.8200,0.7600,0.7500,0.6000,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I would prefer Scenario 2. The reason is that nothing can replace the value offered by creativity and innovations.,0.5500,0.7900,0.7500,0.7400,0.7700,0.8200,0.8700,0.7400,0.7200,0.7700,0.8200,0.7600,0.7900,0.7600,0.7400,0.7700,0.7700,0.7200,0.8000,0.7100,0.7500,0.7700,0.7500,0.7700,0.7600,0.7700,0.7000,0.7800,0.8100,0.7100,0.8100,0.8200,0.7700,0.5500,0.5500,0.7100,0.8100,0.7900,0.9600,0.6700,0.7800
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"I'm not convinced by either of the two scenarios, but if I have to choose I would go with 2. In the first case it seems that we end up controlled by AI and powerful people, while in the second option at least we continue to interact with humans and our work allows us to continue being creative and only routine and boring jobs would be given to AI.",0.5500,0.8000,0.7500,0.7400,0.7800,0.8200,0.7300,0.7400,0.7500,0.6800,0.7400,0.7700,0.6800,0.7600,0.7600,0.7800,0.7500,0.7200,0.8200,0.7100,0.7500,0.7700,0.7200,0.7600,0.7700,0.7700,0.7000,0.7600,0.8100,0.7400,0.8100,0.7800,0.7500,0.5500,0.6500,0.7200,0.8800,0.7900,0.8800,0.6200,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I choose 2. Because the greatest advantage and characteristic of human beings lies in their unique creativity. People should be freed from repetitive and mechanical work to do more valuable and creative work.,0.5500,0.7900,0.7900,0.7400,0.7700,0.8200,0.9300,0.7400,0.7100,0.7700,0.8100,0.7400,0.7900,0.7600,0.7200,0.7600,0.7600,0.7300,0.7900,0.7100,0.7400,0.7700,0.7200,0.7500,0.7700,0.7700,0.6800,0.7700,0.8400,0.7100,0.8200,0.8100,0.7400,0.5500,0.5500,0.6800,0.8100,0.7900,0.9600,0.6700,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 2 I want people to have something to offre to the world at least we can offer creativity ,0.5500,0.7800,0.7900,0.7300,0.7600,0.8200,0.9300,0.7300,0.7100,0.7700,0.8100,0.7500,0.7900,0.7600,0.7300,0.7600,0.7600,0.7200,0.7700,0.7100,0.7500,0.7700,0.7400,0.7400,0.7700,0.7700,0.6800,0.7600,0.8400,0.7000,0.8100,0.8200,0.7400,0.5500,0.5500,0.6900,0.8000,0.7900,0.9200,0.6700,0.7800
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. Ai should be kept as non-creative. Otherwise we're going to lose creativity in society all together.,0.5500,0.7800,0.8200,0.7200,0.7700,0.7600,0.8700,0.7400,0.7300,0.7400,0.7700,0.7700,0.7400,0.6700,0.7700,0.7600,0.7700,0.7100,0.7600,0.7600,0.7400,0.7700,0.7100,0.7700,0.7600,0.7700,0.6900,0.7600,0.8400,0.7400,0.8100,0.7900,0.7100,0.5500,0.6000,0.7100,0.8400,0.7900,0.9200,0.6200,0.7200
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario Two: Limited Power of AI and Growth of a New Way of Working in the Community for the Community,0.5500,0.7800,0.7100,0.7300,0.7800,0.8200,0.8700,0.7400,0.7300,0.7400,0.7400,0.7400,0.6800,0.7000,0.7200,0.7800,0.7600,0.7000,0.8000,0.6700,0.7300,0.7800,0.6800,0.7400,0.7700,0.7600,0.7000,0.7600,0.8400,0.7400,0.8000,0.7700,0.7600,0.5500,0.5500,0.7200,0.8800,0.7800,0.8300,0.6400,0.7200
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,scenario 2 would be better. I'm a creative type who does not feel attached to the idea of staying at the same company for my entire professional life. I'd like the ability to move between jobs without working about money,0.5500,0.7900,0.7500,0.7400,0.7700,0.8200,0.7300,0.7400,0.7400,0.7100,0.7400,0.7700,0.6500,0.7300,0.7600,0.7700,0.7500,0.7100,0.8100,0.7100,0.7400,0.7600,0.7300,0.7600,0.7500,0.7600,0.6900,0.7600,0.8400,0.7400,0.7900,0.7700,0.7400,0.5500,0.6500,0.7100,0.8800,0.7700,0.8800,0.6200,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"2 - both choices have flaws but I believe repetitive work is for AI. Human can create more while mundane, none essential tasks can be delegated to AI. Also, I don't like the idea of big company playing monopoly.",0.5500,0.7900,0.7100,0.7400,0.7600,0.8200,0.7300,0.7500,0.7200,0.7100,0.7400,0.7700,0.6500,0.7300,0.7600,0.7800,0.7500,0.6900,0.8200,0.6700,0.7400,0.7700,0.7100,0.7600,0.7600,0.7600,0.6900,0.7600,0.8100,0.7400,0.7900,0.7700,0.7400,0.5500,0.6000,0.7100,0.8700,0.7700,0.8800,0.6200,0.7500
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"Not necessarily, I'm not sure, my neighbors are elderly, they might prefer help from real people",0.5300,0.6800,0.6400,0.5500,0.6400,0.6500,0.6900,0.5300,0.5800,0.6500,0.6000,0.6600,0.5900,0.6400,0.6700,0.6200,0.6200,0.5400,0.6900,0.6700,0.6400,0.5900,0.6100,0.6200,0.6100,0.6600,0.6300,0.5500,0.5500,0.6200,0.6000,0.6000,0.6400,0.6000,0.6500,0.6200,0.6800,0.6600,0.5400,0.6000,0.6100
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,Maybe not as I live in an Indian society where ai is still developing at its early stage so for now they might not want this kind of future but with the gaining experience they might want to try it,0.5200,0.6400,0.6800,0.6000,0.6100,0.5900,0.5600,0.6100,0.5600,0.6800,0.6200,0.6600,0.5900,0.5500,0.6800,0.6300,0.6300,0.5200,0.6200,0.6700,0.6200,0.6100,0.6200,0.6200,0.6100,0.6400,0.6300,0.5600,0.5500,0.6700,0.6000,0.5700,0.5600,0.5500,0.7000,0.5400,0.6700,0.6200,0.5400,0.5800,0.6700
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,I'm unsure. Though I rarely socialized with my neighbor. We live in deleoping country with partial interest in using technology directly. Most of us don't know how to use the benefit of tech.,0.5100,0.6700,0.6400,0.5400,0.6400,0.7100,0.6900,0.5100,0.5500,0.6500,0.6100,0.6700,0.5900,0.7000,0.6700,0.6200,0.6300,0.5400,0.6800,0.6700,0.6400,0.5900,0.6100,0.6200,0.6100,0.6600,0.6300,0.5300,0.5500,0.6100,0.6100,0.6000,0.6600,0.5500,0.6000,0.6200,0.6900,0.6600,0.5400,0.5800,0.6400
